# container	index	ct	gold	crowns	vouchers	name	total gold	total crowns	total vouchers
House 46	135	1				Rock, Anvil Limestone			
House 46	136	1				Rock, Anvil Limestone			
House 46	137	1				Rock, Anvil Limestone			
House 46	138	1				Imperial Statue, Truth			
House 46	139	1				Imperial Lantern, Wall			
House 46	140	1				Imperial Lantern, Wall			
House 46	141	1				Imperial Lantern, Wall			
House 46	142	1				Imperial Lantern, Wall			
House 46	143	1	7856.6932058298			Breton Chandelier, Wrought Iron	7856.6932058298		
House 46	144	1				Firelogs, Flaming			
House 46	145	1				Firelogs, Flaming			
House 46	146	1	100			Rough Planks, Narrow	100		
House 46	147	1	100			Rough Planks, Platform	100		
House 46	148	1	100			Rough Planks, Narrow	100		
House 46	149	1	1300			Hedge, Dense Low Wall	1300		
House 46	150	1	1300			Hedge, Dense Low Wall	1300		
House 46	151	1	1300			Hedge, Dense Low Wall	1300		
House 46	152	1	1300			Hedge, Dense Low Wall	1300		
House 46	153	1	1300			Hedge, Dense Low Wall	1300		
House 46	154	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	155	1	100			Rough Planks, Narrow	100		
House 46	156	1	2500			Wedding Blossoms, Peach	2500		
House 46	157	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	158	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	159	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	160	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	161	1	15000			Tree, Tiered Light Cherry	15000		
House 46	162	1	15000			Tree, Tiered Light Cherry	15000		
House 46	163	1	25000			Tree, Tiered White Cherry	25000		
House 46	164	1	100			Saplings, Juniper Cluster	100		
House 46	165	1	100			Trees, Paired Evergreens	100		
House 46	166	1	100			Trees, Paired Evergreens	100		
House 46	167	1	100			Trees, Paired Evergreens	100		
House 46	168	1	15000			Tree, Tiered Pink Cherry	15000		
House 46	169	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	170	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	171	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	172	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	173	1	100			Saplings, Juniper Cluster	100		
House 46	174	1		45		Hedge, Dense High Wall		45	
House 46	175	1		45		Hedge, Dense High Wall		45	
House 46	176	1		45		Hedge, Dense High Wall		45	
House 46	177	1	100			Sapling, Tall Scrub	100		
House 46	178	1	100			Sapling, Tall Scrub	100		
House 46	179	1	100			Shrub, Tender Privet	100		
House 46	180	1	3155.306333138			Daedric Candles, Ritual Set	3155.306333138		
House 46	181	1	3293.5272533959			High Elf Candle, Winged	3293.5272533959		
House 46	182	1	7211.676422441			High Elf Brazier, Winged	7211.676422441		
House 46	183	1		45		Topiary, Strong Cypress		45	
House 46	184	1				Imperial Statue, Truth			
House 46	185	1	100			Fern, Young Healthy	100		
House 46	186	1	250			Flowers, Healthy Goldenrod	250		
House 46	187	1	250			Tree, Sturdy Summer	250		
House 46	188	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	189	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	190	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	191	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	192	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	193	1	100			Rough Planks, Platform	100		
House 46	194	1	100			Rough Block, Stone Slab	100		
House 46	195	1	4999			Wedding Blossoms, Blue	4999		
House 46	196	1	250			Tree, Sturdy Summer	250		
House 46	197	1	250			Tree, Sturdy Summer	250		
House 46	198	1	100			Rough Block, Stone Section	100		
House 46	199	1	100			Rough Block, Stone Section	100		
House 46	200	1	100			Rough Block, Stone Section	100		
House 46	201	1	100			Rough Block, Stone Section	100		
House 46	202	1	100			Rough Block, Stone Section	100		
House 46	203	1	100			Rough Block, Stone Section	100		
House 46	204	1	100			Rough Block, Stone Section	100		
House 46	205	1	100			Rough Block, Stone Section	100		
House 46	206	1	100			Rough Block, Stone Section	100		
House 46	207	1	100			Rough Block, Stone Section	100		
House 46	208	1	250			Tree, Sturdy Summer	250		
House 46	209	1	250			Tree, Sturdy Summer	250		
House 46	210	1	250			Tree, Sturdy Summer	250		
House 46	211	1	250			Tree, Sturdy Summer	250		
House 46	212	1	250			Tree, Sturdy Summer	250		
House 46	213	1	250			Tree, Sturdy Summer	250		
House 46	214	1	250			Tree, Sturdy Summer	250		
House 46	215	1	100			Saplings, Squat Highland	100		
House 46	216	1	100			Tree, Old Juniper	100		
House 46	217	1	250			Tree, Sturdy Summer	250		
House 46	218	1	100			Sapling, Tall Scrub	100		
House 46	219	1	100			Sapling, Tall Scrub	100		
House 46	220	1	100			Sapling, Tall Scrub	100		
House 46	221	1	100			Sapling, Tall Scrub	100		
House 46	222	1	100			Sapling, Tall Scrub	100		
House 46	223	1	100			Fern, Young Healthy	100		
House 46	224	1	100			Fern, Young Healthy	100		
House 46	225	1	100			Fern, Young Healthy	100		
House 46	226	1	100			Fern, Young Healthy	100		
House 46	227	1	100			Fern, Healthy Green	100		
House 46	228	1	100			Fern, Lush	100		
House 46	229	1	100			Fern Plant, Vibrant	100		
House 46	230	1	250			Flowers, Healthy Goldenrod	250		
House 46	231	1		45		Topiary, Strong Cypress		45	
House 46	232	1		45		Topiary, Strong Cypress		45	
House 46	233	1		45		Topiary, Strong Cypress		45	
House 46	234	1	100			Tree, Sturdy Juniper	100		
House 46	235	1	100			Tree, Sturdy Juniper	100		
House 46	236	1	100			Tree, Sturdy Juniper	100		
House 46	237	1	100			Tree, Sturdy Juniper	100		
House 46	238	1	250			Flowers, Healthy Goldenrod	250		
House 46	239	1	100			Sapling, Tall Highland	100		
House 46	240	1	100			Sapling, Tall Highland	100		
House 46	241	1	100			Sapling, Tall Highland	100		
House 46	242	1	250			Sapling, Tender Harvest	250		
House 46	243	1	250			Sapling, Tender Harvest	250		
House 46	244	1	250			Sapling, Tender Harvest	250		
House 46	245	1	100			Tree, Sturdy Juniper	100		
House 46	246	1	100			Saplings, Squat Highland	100		
House 46	247	1	100			Rough Block, Light Stone	100		
House 46	248	1			250	Blacksmithing Station (Kvatch Gladiator)			250
House 46	249	1			250	Clothing Station (Kvatch Gladiator)			250
House 46	250	1			250	Woodworking Station (Kvatch Gladiator)			250
House 46	251	1			250	Blacksmithing Station (Varen's Legacy)			250
House 46	252	1			250	Clothing Station (Varen's Legacy)			250
House 46	253	1			250	Woodworking Station (Varen's Legacy)			250
House 46	254	1			250	Blacksmithing Station (Tava's Favor)			250
House 46	255	1			250	Clothing Station (Tava's Favor)			250
House 46	256	1			250	Woodworking Station (Tava's Favor)			250
House 46	257	1			250	Blacksmithing Station (Trial by Fire)			250
House 46	258	1			250	Clothing Station (Trial by Fire)			250
House 46	259	1			250	Woodworking Station (Trial by Fire)			250
House 46	260	1			250	Blacksmithing Station (Daedric Trickery)			250
House 46	261	1			250	Clothing Station (Daedric Trickery)			250
House 46	262	1			250	Woodworking Station (Daedric Trickery)			250
House 46	263	1			250	Blacksmithing Station (Shacklebreaker)			250
House 46	264	1			250	Clothing Station (Shacklebreaker)			250
House 46	265	1			250	Woodworking Station (Shacklebreaker)			250
House 46	266	1			250	Blacksmithing Station (Assassin's Guile)			250
House 46	267	1			250	Clothing Station (Assassin's Guile)			250
House 46	268	1			250	Woodworking Station (Assassin's Guile)			250
House 46	269	1			250	Blacksmithing Station (Eyes of Mara)			250
House 46	270	1			250	Clothing Station (Eyes of Mara)			250
House 46	271	1			250	Woodworking Station (Eyes of Mara)			250
House 46	272	1			250	Clothing Station (Shalidor's Curse)			250
House 46	273	1			250	Blacksmithing Station (Shalidor's Curse)			250
House 46	274	1			250	Woodworking Station (Shalidor's Curse)			250
House 46	275	1	100			Rough Planks, Narrow	100		
House 46	276	1			250	Blacksmithing Station (Mechanical Acuity)			250
House 46	277	1			250	Clothing Station (Mechanical Acuity)			250
House 46	278	1			250	Woodworking Station (Mechanical Acuity)			250
House 46	279	1			250	Blacksmithing Station (Innate Axiom)			250
House 46	280	1			250	Clothing Station (Innate Axiom)			250
House 46	281	1			250	Woodworking Station (Innate Axiom)			250
House 46	282	1			250	Blacksmithing Station (Fortified Brass)			250
House 46	283	1			250	Clothing Station (Fortified Brass)			250
House 46	284	1			250	Woodworking Station (Fortified Brass)			250
House 46	285	1	3019.8598802351			Sweetroll	3019.8598802351		
House 46	286	1			250	Blacksmithing Station (Twilight's Embrace)			250
House 46	287	1			250	Clothing Station (Twilight's Embrace)			250
House 46	288	1			250	Woodworking Station (Twilight's Embrace)			250
House 46	289	1			250	Blacksmithing Station (Way of the Arena)			250
House 46	290	1			250	Clothing Station (Way of the Arena)			250
House 46	291	1			250	Woodworking Station (Way of the Arena)			250
House 46	292	1			250	Blacksmithing Station (Spectre's Eye)			250
House 46	293	1			250	Clothing Station (Spectre's Eye)			250
House 46	294	1			250	Woodworking Station (Spectre's Eye)			250
House 46	295	1			250	Blacksmithing Station (Oblivion's Foe)			250
House 46	296	1			250	Clothing Station (Oblivion's Foe)			250
House 46	297	1			250	Woodworking Station (Oblivion's Foe)			250
House 46	298	1			250	Blacksmithing Station (Willow's Path)			250
House 46	299	1			250	Clothing Station (Willow's Path)			250
House 46	300	1			250	Woodworking Station (Willow's Path)			250
House 46	301	1			250	Blacksmithing Station (Vampire's Kiss)			250
House 46	302	1			250	Clothing Station (Vampire's Kiss)			250
House 46	303	1			250	Woodworking Station (Vampire's Kiss)			250
House 46	304	1			250	Blacksmithing Station (Song of Lamae)			250
House 46	305	1			250	Clothing Station (Song of Lamae)			250
House 46	306	1			250	Woodworking Station (Song of Lamae)			250
House 46	307	1			250	Blacksmithing Station (Alessia's Bulwark)			250
House 46	308	1			250	Clothing Station (Alessia's Bulwark)			250
House 46	309	1			250	Woodworking Station (Alessia's Bulwark)			250
House 46	310	1			250	Blacksmithing Station (Hist Bark)			250
House 46	311	1			250	Clothing Station (Hist Bark)			250
House 46	312	1			250	Woodworking Station (Hist Bark)			250
House 46	313	1			250	Blacksmithing Station (Whitestrake's Retribution)			250
House 46	314	1			250	Clothing Station (Whitestrake's Retribution)			250
House 46	315	1			250	Woodworking Station (Whitestrake's Retribution)			250
House 46	316	1			250	Blacksmithing Station (Night's Silence)			250
House 46	317	1			250	Clothing Station (Night's Silence)			250
House 46	318	1			250	Woodworking Station (Night's Silence)			250
House 46	319	1			250	Blacksmithing Station (Death's Wind)			250
House 46	320	1			250	Clothing Station (Death's Wind)			250
House 46	321	1			250	Woodworking Station (Death's Wind)			250
House 46	322	1			250	Blacksmithing Station (Ashen Grip)			250
House 46	323	1			250	Clothing Station (Ashen Grip)			250
House 46	324	1			250	Woodworking Station (Ashen Grip)			250
House 46	325	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	326	1	10000			Alchemist's Sign	10000		
House 46	327	1	5000			Provisioner's Sign	5000		
House 46	328	1	769.5529046464			Redguard Counter, Cabinet	769.5529046464		
House 46	329	1	1300			Nord Lantern, Cage	1300		
House 46	330	1	1750			Redguard Carpet, Dunes	1750		
House 46	331	1	2459.0926433377			Breton Mirror, Knotwork	2459.0926433377		
House 46	332	1	912.1691311555			Redguard Awning, Oasis	912.1691311555		
House 46	333	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	334	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	335	1	912.1691311555			Redguard Awning, Oasis	912.1691311555		
House 46	336	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	337	1	5000			Lily Pads, Swamp Cluster	5000		
House 46	338	1	5000			Lily Pads, Swamp Cluster	5000		
House 46	339	1	500			Pocket Change	500		
House 46	340	1	100			Rough Block, Light Stone	100		
House 46	341	1	100			Rough Block, Light Stone	100		
House 46	342	1	100			Rough Block, Light Stone	100		
House 46	343	1	100			Rough Block, Light Stone	100		
House 46	344	1	100			Rough Block, Light Stone	100		
House 46	345	1	5000			Decorative Safebox	5000		
House 46	346	1	500			Pocket Change	500		
House 46	347	1	2650.2424579152			Breton Divider, Curved Knotwork	2650.2424579152		
House 46	348	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	349	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	350	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	351	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	352	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	353	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	354	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	355	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	356	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	357	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	358	1	305.2875091911			Common Post, Flag Pole	305.2875091911		
House 46	359	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	360	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	361	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	362	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	363	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	364	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	365	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	366	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	367	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	368	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	369	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	370	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	371	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	372	1		4000		The Apprentice		4000	
House 46	373	1		4000		The Atronach		4000	
House 46	374	1		4000		The Lady		4000	
House 46	375	1		4000		The Lord		4000	
House 46	376	1		4000		The Lover		4000	
House 46	377	1		4000		The Mage		4000	
House 46	378	1		4000		The Ritual		4000	
House 46	379	1		4000		The Serpent		4000	
House 46	380	1		4000		The Shadow		4000	
House 46	381	1		4000		The Steed		4000	
House 46	382	1		4000		The Thief		4000	
House 46	383	1		4000		The Tower		4000	
House 46	384	1		4000		The Warrior		4000	
House 46	385	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	386	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	387	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	388	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	389	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	390	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	391	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	392	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	393	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	394	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	395	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	396	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	397	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	398	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	399	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	400	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	401	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	402	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	403	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	404	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	405	1	2035.8952018343			Dark Elf Carpet, Ashen	2035.8952018343		
House 46	406	1		45		Hedge, Dense High Wall		45	
House 46	407	1		45		Hedge, Dense High Wall		45	
House 46	408	1		45		Hedge, Dense High Wall		45	
House 46	409	1		45		Hedge, Dense High Wall		45	
House 46	410	1		45		Hedge, Dense High Wall		45	
House 46	411	1		45		Hedge, Dense High Wall		45	
House 46	412	1		45		Hedge, Dense High Wall		45	
House 46	413	1		45		Hedge, Dense High Wall		45	
House 46	414	1	1300			Hedge, Dense Low Wall	1300		
House 46	415	1		45		Hedge, Dense High Wall		45	
House 46	416	1		45		Hedge, Dense High Wall		45	
House 46	417	1		45		Hedge, Dense High Wall		45	
House 46	418	1		45		Hedge, Dense High Wall		45	
House 46	419	1		45		Hedge, Dense High Wall		45	
House 46	420	1		45		Hedge, Dense High Wall		45	
House 46	421	1		45		Hedge, Dense High Wall		45	
House 46	422	1		45		Hedge, Dense High Wall		45	
House 46	423	1		45		Hedge, Dense High Wall		45	
House 46	424	1		45		Hedge, Dense High Wall		45	
House 46	425	1		45		Hedge, Dense High Wall		45	
House 46	426	1		45		Hedge, Dense High Wall		45	
House 46	427	1		45		Hedge, Dense High Wall		45	
House 46	428	1	1300			Hedge, Dense Low Wall	1300		
House 46	429	1	100			Rough Planks, Wide	100		
House 46	430	1	100			Rough Block, Light Stone	100		
House 46	431	1	100			Rough Block, Light Stone	100		
House 46	432	1	100			Rough Block, Light Stone	100		
House 46	433	1	100			Rough Block, Light Stone	100		
House 46	434	1	100			Rough Block, Light Stone	100		
House 46	435	1	100			Rough Block, Light Stone	100		
House 46	436	1		45		Hedge, Dense High Wall		45	
House 46	437	1		45		Hedge, Dense High Wall		45	
House 46	438	1		45		Hedge, Dense High Wall		45	
House 46	439	1		45		Topiary, Strong Cypress		45	
House 46	440	1		45		Topiary, Strong Cypress		45	
House 46	441	1		45		Topiary, Strong Cypress		45	
House 46	442	1		45		Topiary, Strong Cypress		45	
House 46	443	1	100			Rough Block, Stone Slab	100		
House 46	444	1	100			Rough Block, Stone Slab	100		
House 46	445	1	100			Rough Block, Stone Slab	100		
House 46	446	1	100			Rough Block, Stone Slab	100		
House 46	447	1	2007.7142857143			Redguard Couch, Padded	2007.7142857143		
House 46	448	1	1750			Redguard Carpet, Dunes	1750		
House 46	449	1	100			Saplings, Squat Highland	100		
House 46	450	1	100			Saplings, Squat Highland	100		
House 46	451	1	100			Saplings, Squat Highland	100		
House 46	452	1	100			Saplings, Juniper Cluster	100		
House 46	453	1	100			Saplings, Juniper Cluster	100		
House 46	454	1	100			Saplings, Squat Highland	100		
House 46	455	1	100			Saplings, Squat Highland	100		
House 46	456	1	250			Sapling, Forked Ashland	250		
House 46	457	1	250			Sapling, Forked Ashland	250		
House 46	458	1	250			Sapling, Forked Ashland	250		
House 46	459	1	100			Sapling, Healthy Forest	100		
House 46	460	1	5000			Scales of Felonious Recompense	5000		
House 46	461	1	1000			Noble Pocket Lint	1000		
House 46	462	1	710.857566963			Tongs, Forge	710.857566963		
House 46	463	1				Breton Mug, Full			
House 46	464	1	3000			Bottle, Liquor	3000		
House 46	465	1	100			Sapling, Tall Scrub	100		
House 46	466	1	57500			Clockwork Calibration Guide, The Mage	57500		
House 46	467	1	25160			Clockwork Telescope, Surveyor's	25160		
House 46	468	1	50999.8			Target Skeleton, Humanoid	50999.8		
House 46	469	1	100			Sapling, Tall Scrub	100		
House 46	470	1	250			Flowers, Healthy Goldenrod	250		
House 46	471	1	250			Flowers, Healthy Goldenrod	250		
House 46	472	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	473	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	474	1	3000			Merchant's Sign, Small	3000		
House 46	475	1	3000			Banker's Sign, Small	3000		
House 46	476	1	10000			Mountain of Loot	10000		
House 46	477	1	50000			Tribunal Shrine in Fountain	50000		
House 46	478	1		50		Ice Floe, Thin		50	
House 46	479	1	677.6074233129			Carrots, Wax	677.6074233129		
House 46	480	1	2500			Tree, Ancient Cedar	2500		
House 46	481	1	2500			Tree, Ancient Cedar	2500		
House 46	482	1	1000			Tree, Foothills Pine	1000		
House 46	483	1	1000			Tree, Towering Mountain Pine	1000		
House 46	484	1	1000			Tree, Towering Mountain Pine	1000		
House 46	485	1	1000			Tree, Towering Mountain Pine	1000		
House 46	486	1	100			Tree, Old Juniper	100		
House 46	487	1	100			Tree, Old Juniper	100		
House 46	488	1	100			Tree, Old Juniper	100		
House 46	489	1	100			Tree, Old Juniper	100		
House 46	490	1	2500			Tree, Ancient Cedar	2500		
House 46	491	1	2500			Tree, Ancient Cedar	2500		
House 46	492	1	2500			Tree, Ancient Cedar	2500		
House 46	493	1	250			Tree, Large Twisted Ash	250		
House 46	494	1	250			Tree, Large Twisted Ash	250		
House 46	495	1	250			Tree, Large Twisted Ash	250		
House 46	496	1	100			Sapling, Tall Scrub	100		
House 46	497	1	100			Sapling, Tall Scrub	100		
House 46	498	1	100			Sapling, Tall Scrub	100		
House 46	499	1	100			Sapling, Tall Scrub	100		
House 46	500	1	100			Sapling, Tall Scrub	100		
House 46	501	1	80839.564704616			Target Skeleton, Robust Humanoid	80839.564704616		
House 46	502	1	50999.8			Target Skeleton, Humanoid	50999.8		
House 46	503	1	100			Tree, Sturdy Juniper	100		
House 46	504	1	100			Tree, Sturdy Juniper	100		
House 46	505	1	6091.1464449447			Breton Urn, Striated	6091.1464449447		
House 46	506	1	6091.1464449447			Breton Urn, Striated	6091.1464449447		
House 46	507	1	6091.1464449447			Breton Urn, Striated	6091.1464449447		
House 46	508	1		25		Sapling, Sparse Laurel		25	
House 46	509	1		25		Sapling, Sparse Laurel		25	
House 46	510	1		25		Sapling, Sparse Laurel		25	
House 46	511	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	512	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	513	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	514	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	515	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	516	1	492.3516483516			Common Candle, Set	492.3516483516		
House 46	517	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	518	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	519	1	667.5874233129			Common Candles, Pair	667.5874233129		
House 46	520	1	7211.676422441			High Elf Brazier, Winged	7211.676422441		
House 46	521	1	1300			Hedge, Dense Low Wall	1300		
House 46	522	1	1300			Hedge, Dense Low Wall	1300		
House 46	523	1	1300			Hedge, Dense Low Wall	1300		
House 46	524	1				Tree, Kvatch Nut			
House 46	525	1				Tree, Kvatch Nut			
House 46	526	1				Tree, Kvatch Nut			
House 46	527	1			500	Outfit Station			500
House 46	528	1	769.5529046464			Redguard Counter, Cabinet	769.5529046464		
House 46	529	1	1300			Nord Lantern, Cage	1300		
House 46	530	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	531	1	305.2875091911			Common Post, Flag Pole	305.2875091911		
House 46	532	1	36774.007561759			Hlaalu Trinket Box, Curious Turtle	36774.007561759		
House 46	533	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	534	1	100			Rough Planks, Platform	100		
House 46	535	1	100			Rough Planks, Platform	100		
House 46	536	1	100			Rough Plank, Long	100		
House 46	537	1	305.2875091911			Common Post, Flag Pole	305.2875091911		
House 46	538	1	100			Rough Plank, Long	100		
House 46	539	1	100			Sapling, Tall Scrub	100		
House 46	540	1	2759.8506576768			Breton Sconce, Sturdy Torch	2759.8506576768		
House 46	541	1	100			Rough Plank, Long	100		
House 46	542	1	912.1691311555			Redguard Awning, Oasis	912.1691311555		
House 46	543	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	544	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	545	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	546	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	547	1	1249			Khajiit Carpet, Sun	1249		
House 46	548	1	250			Painting of Summer, Sturdy	250		
House 46	549	1	3355.0894890297			Daedric Platform, Ashen	3355.0894890297		
House 46	550	1	3019.8598802351			Sweetroll	3019.8598802351		
House 46	551	1		45		Hedge, Dense High Wall		45	
House 46	552	1		45		Hedge, Dense High Wall		45	
House 46	553	1		45		Hedge, Dense High Wall		45	
House 46	554	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	555	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	556	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	557	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	558	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	559	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	560	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	561	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	562	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	563	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	564	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	565	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	566	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	567	1	991.8748730497			Dark Elf Streetpost, Banner	991.8748730497		
House 46	568	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	569	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	570	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	571	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	572	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	573	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	574	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	575	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	576	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	577	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	578	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	579	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	580	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	581	1	1131.4356313818			Common Lantern, Hanging	1131.4356313818		
House 46	582	1		45		Hedge, Dense High Wall		45	
House 46	583	1		45		Hedge, Dense High Wall		45	
House 46	584	1		45		Hedge, Dense High Wall		45	
House 46	585	1		45		Hedge, Dense High Wall		45	
House 46	586	1		45		Topiary, Strong Cypress		45	
House 46	587	1		45		Hedge, Dense High Wall		45	
House 46	588	1		45		Hedge, Dense High Wall		45	
House 46	589	1		45		Hedge, Dense High Wall		45	
House 46	590	1	2759.8506576768			Breton Sconce, Sturdy Torch	2759.8506576768		
House 46	591	1		45		Hedge, Dense High Wall		45	
House 46	592	1		45		Hedge, Dense High Wall		45	
House 46	593	1		45		Hedge, Dense High Wall		45	
House 46	594	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	595	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	596	1	1011.0008642913			Breton Sconce, Torch	1011.0008642913		
House 46	597	1			250	Blacksmithing Station (Adept Rider)			250
House 46	598	1			250	Clothing Station (Adept Rider)			250
House 46	599	1			250	Jewelry Crafting Station (Adept Rider)			250
House 46	600	1			250	Woodworking Station (Adept Rider)			250
House 46	601	1			250	Blacksmithing Station (Nocturnal's Favor)			250
House 46	602	1			250	Clothing Station (Nocturnal's Favor)			250
